php 5.6.16:

1.662584066391 seconds
1.5631890296936 seconds
1.5410239696503 seconds
1.7015180587769 seconds
1.7106740474701 seconds
1.5705389976501 seconds
1.5806109905243 seconds
1.5926959514618 seconds
1.5840659141541 seconds
1.5717868804932 seconds

php 7.0.0:

1.0365610122681 seconds
0.90316200256348 seconds
0.90397810935974 seconds
0.95885109901428 seconds
0.95402503013611 seconds
0.97504687309265 seconds
0.91152310371399 seconds
1.0010960102081 seconds
0.99634504318237 seconds
0.92465400695801 seconds
